case_id,activity,timestamp,owner,detail,amount_inr,entity,po_present,grn_present,exception_type,invoice_status
AP-2010,Invoice received,2026-06-02T18:00:00,AP intake,Invoice received from Maple Industrial,560000,Asteron GCC,Yes,Yes,None,Open
AP-2010,Three-way match,2026-06-03T01:00:00,AP analyst,PO and GRN matched on first pass,560000,Asteron GCC,Yes,Yes,None,Open
AP-2010,Approval requested,2026-06-03T07:00:00,Workflow,Approval routed automatically,560000,Asteron GCC,Yes,Yes,None,Pending approval
AP-2010,Approved,2026-06-03T17:00:00,Budget owner,Approved within policy SLA,560000,Asteron GCC,Yes,Yes,None,Approved
AP-2010,Payment ready,2026-06-04T01:00:00,AP controller,Scheduled for payment run,560000,Asteron GCC,Yes,Yes,None,Payment ready
AP-2011,Invoice received,2026-06-02T21:00:00,AP intake,Invoice received from Zenith Services,95000,Asteron India,Yes,Yes,None,Open
AP-2011,Three-way match,2026-06-03T04:00:00,AP analyst,PO and GRN matched on first pass,95000,Asteron India,Yes,Yes,None,Open
AP-2011,Approval requested,2026-06-03T10:00:00,Workflow,Approval routed automatically,95000,Asteron India,Yes,Yes,None,Pending approval
AP-2011,Approved,2026-06-03T20:00:00,Budget owner,Approved within policy SLA,95000,Asteron India,Yes,Yes,None,Approved
AP-2011,Payment ready,2026-06-04T04:00:00,AP controller,Scheduled for payment run,95000,Asteron India,Yes,Yes,None,Payment ready
AP-2012,Invoice received,2026-06-03T00:00:00,AP intake,Invoice received from BluePeak Systems,265000,Asteron UK,Yes,Yes,None,Open
AP-2012,Three-way match,2026-06-03T07:00:00,AP analyst,PO and GRN matched on first pass,265000,Asteron UK,Yes,Yes,None,Open
AP-2012,Approval requested,2026-06-03T13:00:00,Workflow,Approval routed automatically,265000,Asteron UK,Yes,Yes,None,Pending approval
AP-2012,Approved,2026-06-03T23:00:00,Budget owner,Approved within policy SLA,265000,Asteron UK,Yes,Yes,None,Approved
AP-2012,Payment ready,2026-06-04T07:00:00,AP controller,Scheduled for payment run,265000,Asteron UK,Yes,Yes,None,Payment ready
AP-2013,Invoice received,2026-06-03T03:00:00,AP intake,Invoice received from Nova Components,560000,Asteron GCC,Yes,Yes,None,Open
AP-2013,Three-way match,2026-06-03T10:00:00,AP analyst,PO and GRN matched on first pass,560000,Asteron GCC,Yes,Yes,None,Open
AP-2013,Approval requested,2026-06-03T16:00:00,Workflow,Approval routed automatically,560000,Asteron GCC,Yes,Yes,None,Pending approval
AP-2013,Approved,2026-06-04T02:00:00,Budget owner,Approved within policy SLA,560000,Asteron GCC,Yes,Yes,None,Approved
AP-2013,Payment ready,2026-06-04T10:00:00,AP controller,Scheduled for payment run,560000,Asteron GCC,Yes,Yes,None,Payment ready
AP-2014,Invoice received,2026-06-03T06:00:00,AP intake,Invoice received from Harbor Logistics,95000,Asteron India,Yes,Yes,None,Open
AP-2014,Three-way match,2026-06-03T13:00:00,AP analyst,PO and GRN matched on first pass,95000,Asteron India,Yes,Yes,None,Open
AP-2014,Approval requested,2026-06-03T19:00:00,Workflow,Approval routed automatically,95000,Asteron India,Yes,Yes,None,Pending approval
AP-2014,Approved,2026-06-04T05:00:00,Budget owner,Approved within policy SLA,95000,Asteron India,Yes,Yes,None,Approved
AP-2014,Payment ready,2026-06-04T13:00:00,AP controller,Scheduled for payment run,95000,Asteron India,Yes,Yes,None,Payment ready
AP-2015,Invoice received,2026-06-03T09:00:00,AP intake,Invoice received from Maple Industrial,265000,Asteron UK,Yes,Yes,None,Open
AP-2015,Three-way match,2026-06-03T16:00:00,AP analyst,PO and GRN matched on first pass,265000,Asteron UK,Yes,Yes,None,Open
AP-2015,Approval requested,2026-06-03T22:00:00,Workflow,Approval routed automatically,265000,Asteron UK,Yes,Yes,None,Pending approval
AP-2015,Approved,2026-06-04T08:00:00,Budget owner,Approved within policy SLA,265000,Asteron UK,Yes,Yes,None,Approved
AP-2015,Payment ready,2026-06-04T16:00:00,AP controller,Scheduled for payment run,265000,Asteron UK,Yes,Yes,None,Payment ready
AP-2016,Invoice received,2026-06-03T12:00:00,AP intake,Invoice received from Zenith Services,560000,Asteron GCC,Yes,Yes,None,Open
AP-2016,Three-way match,2026-06-03T19:00:00,AP analyst,PO and GRN matched on first pass,560000,Asteron GCC,Yes,Yes,None,Open
AP-2016,Approval requested,2026-06-04T01:00:00,Workflow,Approval routed automatically,560000,Asteron GCC,Yes,Yes,None,Pending approval
AP-2016,Approved,2026-06-04T11:00:00,Budget owner,Approved within policy SLA,560000,Asteron GCC,Yes,Yes,None,Approved
AP-2016,Payment ready,2026-06-04T19:00:00,AP controller,Scheduled for payment run,560000,Asteron GCC,Yes,Yes,None,Payment ready
AP-2017,Invoice received,2026-06-03T15:00:00,AP intake,Invoice received from BluePeak Systems,95000,Asteron India,Yes,Yes,None,Open
AP-2017,Three-way match,2026-06-03T22:00:00,AP analyst,PO and GRN matched on first pass,95000,Asteron India,Yes,Yes,None,Open
AP-2017,Approval requested,2026-06-04T04:00:00,Workflow,Approval routed automatically,95000,Asteron India,Yes,Yes,None,Pending approval
AP-2017,Approved,2026-06-04T14:00:00,Budget owner,Approved within policy SLA,95000,Asteron India,Yes,Yes,None,Approved
AP-2017,Payment ready,2026-06-04T22:00:00,AP controller,Scheduled for payment run,95000,Asteron India,Yes,Yes,None,Payment ready
AP-2018,Invoice received,2026-06-03T18:00:00,AP intake,Invoice received from Nova Components,265000,Asteron UK,Yes,Yes,None,Open
AP-2018,Three-way match,2026-06-04T01:00:00,AP analyst,PO and GRN matched on first pass,265000,Asteron UK,Yes,Yes,None,Open
AP-2018,Approval requested,2026-06-04T07:00:00,Workflow,Approval routed automatically,265000,Asteron UK,Yes,Yes,None,Pending approval
AP-2018,Approved,2026-06-04T17:00:00,Budget owner,Approved within policy SLA,265000,Asteron UK,Yes,Yes,None,Approved
AP-2018,Payment ready,2026-06-05T01:00:00,AP controller,Scheduled for payment run,265000,Asteron UK,Yes,Yes,None,Payment ready
AP-2019,Invoice received,2026-06-03T21:00:00,AP intake,Invoice received from Harbor Logistics,560000,Asteron GCC,Yes,Yes,None,Open
AP-2019,Three-way match,2026-06-04T04:00:00,AP analyst,PO and GRN matched on first pass,560000,Asteron GCC,Yes,Yes,None,Open
AP-2019,Approval requested,2026-06-04T10:00:00,Workflow,Approval routed automatically,560000,Asteron GCC,Yes,Yes,None,Pending approval
AP-2019,Approved,2026-06-04T20:00:00,Budget owner,Approved within policy SLA,560000,Asteron GCC,Yes,Yes,None,Approved
AP-2019,Payment ready,2026-06-05T04:00:00,AP controller,Scheduled for payment run,560000,Asteron GCC,Yes,Yes,None,Payment ready
AP-2020,Invoice received,2026-06-04T00:00:00,AP intake,Invoice received from Maple Industrial,95000,Asteron India,Yes,Yes,None,Open
AP-2020,Three-way match,2026-06-04T07:00:00,AP analyst,PO and GRN matched on first pass,95000,Asteron India,Yes,Yes,None,Open
AP-2020,Approval requested,2026-06-04T13:00:00,Workflow,Approval routed automatically,95000,Asteron India,Yes,Yes,None,Pending approval
AP-2020,Approved,2026-06-04T23:00:00,Budget owner,Approved within policy SLA,95000,Asteron India,Yes,Yes,None,Approved
AP-2020,Payment ready,2026-06-05T07:00:00,AP controller,Scheduled for payment run,95000,Asteron India,Yes,Yes,None,Payment ready
AP-2021,Invoice received,2026-06-04T03:00:00,AP intake,Invoice received from Zenith Services,265000,Asteron UK,Yes,Yes,None,Open
AP-2021,Three-way match,2026-06-04T10:00:00,AP analyst,PO and GRN matched on first pass,265000,Asteron UK,Yes,Yes,None,Open
AP-2021,Approval requested,2026-06-04T16:00:00,Workflow,Approval routed automatically,265000,Asteron UK,Yes,Yes,None,Pending approval
AP-2021,Approved,2026-06-05T02:00:00,Budget owner,Approved within policy SLA,265000,Asteron UK,Yes,Yes,None,Approved
AP-2021,Payment ready,2026-06-05T10:00:00,AP controller,Scheduled for payment run,265000,Asteron UK,Yes,Yes,None,Payment ready
AP-2022,Invoice received,2026-06-04T06:00:00,AP intake,Invoice received from BluePeak Systems,560000,Asteron GCC,Yes,Yes,None,Open
AP-2022,Three-way match,2026-06-04T13:00:00,AP analyst,PO and GRN matched on first pass,560000,Asteron GCC,Yes,Yes,None,Open
AP-2022,Approval requested,2026-06-04T19:00:00,Workflow,Approval routed automatically,560000,Asteron GCC,Yes,Yes,None,Pending approval
AP-2022,Approved,2026-06-05T05:00:00,Budget owner,Approved within policy SLA,560000,Asteron GCC,Yes,Yes,None,Approved
AP-2022,Payment ready,2026-06-05T13:00:00,AP controller,Scheduled for payment run,560000,Asteron GCC,Yes,Yes,None,Payment ready
AP-2023,Invoice received,2026-06-04T09:00:00,AP intake,Invoice received from Nova Components,95000,Asteron India,Yes,Yes,None,Open
AP-2023,Three-way match,2026-06-04T16:00:00,AP analyst,PO and GRN matched on first pass,95000,Asteron India,Yes,Yes,None,Open
AP-2023,Approval requested,2026-06-04T22:00:00,Workflow,Approval routed automatically,95000,Asteron India,Yes,Yes,None,Pending approval
AP-2023,Approved,2026-06-05T08:00:00,Budget owner,Approved within policy SLA,95000,Asteron India,Yes,Yes,None,Approved
AP-2023,Payment ready,2026-06-05T16:00:00,AP controller,Scheduled for payment run,95000,Asteron India,Yes,Yes,None,Payment ready
AP-2024,Invoice received,2026-06-04T12:00:00,AP intake,Invoice received from Harbor Logistics,265000,Asteron UK,Yes,Yes,None,Open
AP-2024,Three-way match,2026-06-04T19:00:00,AP analyst,PO and GRN matched on first pass,265000,Asteron UK,Yes,Yes,None,Open
AP-2024,Approval requested,2026-06-05T01:00:00,Workflow,Approval routed automatically,265000,Asteron UK,Yes,Yes,None,Pending approval
AP-2024,Approved,2026-06-05T11:00:00,Budget owner,Approved within policy SLA,265000,Asteron UK,Yes,Yes,None,Approved
AP-2024,Payment ready,2026-06-05T19:00:00,AP controller,Scheduled for payment run,265000,Asteron UK,Yes,Yes,None,Payment ready
AP-2025,Invoice received,2026-06-04T15:00:00,AP intake,Invoice received from Maple Industrial,560000,Asteron GCC,Yes,Yes,None,Open
AP-2025,Three-way match,2026-06-04T22:00:00,AP analyst,PO and GRN matched on first pass,560000,Asteron GCC,Yes,Yes,None,Open
AP-2025,Approval requested,2026-06-05T04:00:00,Workflow,Approval routed automatically,560000,Asteron GCC,Yes,Yes,None,Pending approval
AP-2025,Approved,2026-06-05T14:00:00,Budget owner,Approved within policy SLA,560000,Asteron GCC,Yes,Yes,None,Approved
AP-2025,Payment ready,2026-06-05T22:00:00,AP controller,Scheduled for payment run,560000,Asteron GCC,Yes,Yes,None,Payment ready
AP-2026,Invoice received,2026-06-04T18:00:00,AP intake,Invoice received from Zenith Services,95000,Asteron India,Yes,Yes,None,Open
AP-2026,Three-way match,2026-06-05T01:00:00,AP analyst,PO and GRN matched on first pass,95000,Asteron India,Yes,Yes,None,Open
AP-2026,Approval requested,2026-06-05T07:00:00,Workflow,Approval routed automatically,95000,Asteron India,Yes,Yes,None,Pending approval
AP-2026,Approved,2026-06-05T17:00:00,Budget owner,Approved within policy SLA,95000,Asteron India,Yes,Yes,None,Approved
AP-2026,Payment ready,2026-06-06T01:00:00,AP controller,Scheduled for payment run,95000,Asteron India,Yes,Yes,None,Payment ready
AP-2027,Invoice received,2026-06-04T21:00:00,AP intake,Invoice received from BluePeak Systems,265000,Asteron UK,Yes,Yes,None,Open
AP-2027,Three-way match,2026-06-05T04:00:00,AP analyst,PO and GRN matched on first pass,265000,Asteron UK,Yes,Yes,None,Open
AP-2027,Approval requested,2026-06-05T10:00:00,Workflow,Approval routed automatically,265000,Asteron UK,Yes,Yes,None,Pending approval
AP-2027,Approved,2026-06-05T20:00:00,Budget owner,Approved within policy SLA,265000,Asteron UK,Yes,Yes,None,Approved
AP-2027,Payment ready,2026-06-06T04:00:00,AP controller,Scheduled for payment run,265000,Asteron UK,Yes,Yes,None,Payment ready
AP-2028,Invoice received,2026-06-05T00:00:00,AP intake,Invoice received from Nova Components,560000,Asteron GCC,Yes,Yes,None,Open
AP-2028,Three-way match,2026-06-05T07:00:00,AP analyst,PO and GRN matched on first pass,560000,Asteron GCC,Yes,Yes,None,Open
AP-2028,Approval requested,2026-06-05T13:00:00,Workflow,Approval routed automatically,560000,Asteron GCC,Yes,Yes,None,Pending approval
AP-2028,Approved,2026-06-05T23:00:00,Budget owner,Approved within policy SLA,560000,Asteron GCC,Yes,Yes,None,Approved
AP-2028,Payment ready,2026-06-06T07:00:00,AP controller,Scheduled for payment run,560000,Asteron GCC,Yes,Yes,None,Payment ready
AP-2029,Invoice received,2026-06-05T03:00:00,AP intake,Invoice received from Harbor Logistics,95000,Asteron India,Yes,Yes,None,Open
AP-2029,Three-way match,2026-06-05T10:00:00,AP analyst,PO and GRN matched on first pass,95000,Asteron India,Yes,Yes,None,Open
AP-2029,Approval requested,2026-06-05T16:00:00,Workflow,Approval routed automatically,95000,Asteron India,Yes,Yes,None,Pending approval
AP-2029,Approved,2026-06-06T02:00:00,Budget owner,Approved within policy SLA,95000,Asteron India,Yes,Yes,None,Approved
AP-2029,Payment ready,2026-06-06T10:00:00,AP controller,Scheduled for payment run,95000,Asteron India,Yes,Yes,None,Payment ready
AP-2030,Invoice received,2026-06-05T06:00:00,AP intake,Invoice received from Maple Industrial,265000,Asteron UK,Yes,Yes,None,Open
AP-2030,Three-way match,2026-06-05T13:00:00,AP analyst,PO and GRN matched on first pass,265000,Asteron UK,Yes,Yes,None,Open
AP-2030,Approval requested,2026-06-05T19:00:00,Workflow,Approval routed automatically,265000,Asteron UK,Yes,Yes,None,Pending approval
AP-2030,Approved,2026-06-06T05:00:00,Budget owner,Approved within policy SLA,265000,Asteron UK,Yes,Yes,None,Approved
AP-2030,Payment ready,2026-06-06T13:00:00,AP controller,Scheduled for payment run,265000,Asteron UK,Yes,Yes,None,Payment ready
AP-2031,Invoice received,2026-06-05T09:00:00,AP intake,Invoice received from Zenith Services,560000,Asteron GCC,Yes,Yes,None,Open
AP-2031,Three-way match,2026-06-05T16:00:00,AP analyst,PO and GRN matched on first pass,560000,Asteron GCC,Yes,Yes,None,Open
AP-2031,Approval requested,2026-06-05T22:00:00,Workflow,Approval routed automatically,560000,Asteron GCC,Yes,Yes,None,Pending approval
AP-2031,Approved,2026-06-06T08:00:00,Budget owner,Approved within policy SLA,560000,Asteron GCC,Yes,Yes,None,Approved
AP-2031,Payment ready,2026-06-06T16:00:00,AP controller,Scheduled for payment run,560000,Asteron GCC,Yes,Yes,None,Payment ready
AP-2032,Invoice received,2026-06-05T12:00:00,AP intake,Invoice received from BluePeak Systems,95000,Asteron India,Yes,Yes,None,Open
AP-2032,Three-way match,2026-06-05T19:00:00,AP analyst,PO and GRN matched on first pass,95000,Asteron India,Yes,Yes,None,Open
AP-2032,Approval requested,2026-06-06T01:00:00,Workflow,Approval routed automatically,95000,Asteron India,Yes,Yes,None,Pending approval
AP-2032,Approved,2026-06-06T11:00:00,Budget owner,Approved within policy SLA,95000,Asteron India,Yes,Yes,None,Approved
AP-2032,Payment ready,2026-06-06T19:00:00,AP controller,Scheduled for payment run,95000,Asteron India,Yes,Yes,None,Payment ready
AP-2033,Invoice received,2026-06-05T15:00:00,AP intake,Invoice received from Nova Components,265000,Asteron UK,Yes,Yes,None,Open
AP-2033,Three-way match,2026-06-05T22:00:00,AP analyst,PO and GRN matched on first pass,265000,Asteron UK,Yes,Yes,None,Open
AP-2033,Approval requested,2026-06-06T04:00:00,Workflow,Approval routed automatically,265000,Asteron UK,Yes,Yes,None,Pending approval
AP-2033,Approved,2026-06-06T14:00:00,Budget owner,Approved within policy SLA,265000,Asteron UK,Yes,Yes,None,Approved
AP-2033,Payment ready,2026-06-06T22:00:00,AP controller,Scheduled for payment run,265000,Asteron UK,Yes,Yes,None,Payment ready
AP-2034,Invoice received,2026-06-05T18:00:00,AP intake,Invoice received from Harbor Logistics,560000,Asteron GCC,Yes,Yes,None,Open
AP-2034,Three-way match,2026-06-06T01:00:00,AP analyst,PO and GRN matched on first pass,560000,Asteron GCC,Yes,Yes,None,Open
AP-2034,Approval requested,2026-06-06T07:00:00,Workflow,Approval routed automatically,560000,Asteron GCC,Yes,Yes,None,Pending approval
AP-2034,Approved,2026-06-06T17:00:00,Budget owner,Approved within policy SLA,560000,Asteron GCC,Yes,Yes,None,Approved
AP-2034,Payment ready,2026-06-07T01:00:00,AP controller,Scheduled for payment run,560000,Asteron GCC,Yes,Yes,None,Payment ready
AP-2035,Invoice received,2026-06-05T21:00:00,AP intake,Invoice received from Maple Industrial,95000,Asteron India,Yes,Yes,None,Open
AP-2035,Three-way match,2026-06-06T04:00:00,AP analyst,PO and GRN matched on first pass,95000,Asteron India,Yes,Yes,None,Open
AP-2035,Approval requested,2026-06-06T10:00:00,Workflow,Approval routed automatically,95000,Asteron India,Yes,Yes,None,Pending approval
AP-2035,Approved,2026-06-06T20:00:00,Budget owner,Approved within policy SLA,95000,Asteron India,Yes,Yes,None,Approved
AP-2035,Payment ready,2026-06-07T04:00:00,AP controller,Scheduled for payment run,95000,Asteron India,Yes,Yes,None,Payment ready
AP-2036,Invoice received,2026-06-06T00:00:00,AP intake,Invoice received from Zenith Services,265000,Asteron UK,Yes,Yes,None,Open
AP-2036,Three-way match,2026-06-06T07:00:00,AP analyst,PO and GRN matched on first pass,265000,Asteron UK,Yes,Yes,None,Open
AP-2036,Approval requested,2026-06-06T13:00:00,Workflow,Approval routed automatically,265000,Asteron UK,Yes,Yes,None,Pending approval
AP-2036,Approved,2026-06-06T23:00:00,Budget owner,Approved within policy SLA,265000,Asteron UK,Yes,Yes,None,Approved
AP-2036,Payment ready,2026-06-07T07:00:00,AP controller,Scheduled for payment run,265000,Asteron UK,Yes,Yes,None,Payment ready
AP-2037,Invoice received,2026-06-06T03:00:00,AP intake,Invoice received from Harbor Logistics,560000,Asteron GCC,Yes,Yes,None,Open
AP-2037,PO missing review,2026-06-06T09:00:00,AP analyst,Invoice missing PO reference,560000,Asteron GCC,No,Yes,Missing PO,Exception
AP-2037,PO exception routed,2026-06-07T01:00:00,Procurement,Buyer asked to create or validate PO,560000,Asteron GCC,No,Yes,Missing PO,Exception
AP-2037,PO confirmed,2026-06-07T19:00:00,Procurement,Backdated PO validated for exception policy,560000,Asteron GCC,Yes,Yes,Missing PO,Exception
AP-2037,Three-way match,2026-06-08T03:00:00,AP analyst,PO now available and matched,560000,Asteron GCC,Yes,Yes,None,Open
AP-2037,Approval requested,2026-06-08T09:00:00,Workflow,Approval started after PO resolution,560000,Asteron GCC,Yes,Yes,None,Pending approval
AP-2037,Approved,2026-06-08T20:00:00,Budget owner,Approved after PO remediation,560000,Asteron GCC,Yes,Yes,None,Approved
AP-2037,Payment ready,2026-06-09T05:00:00,AP controller,Returned to normal payment queue,560000,Asteron GCC,Yes,Yes,None,Payment ready
AP-2038,Invoice received,2026-06-06T06:00:00,AP intake,Invoice received from Maple Industrial,95000,Asteron India,Yes,Yes,None,Open
AP-2038,PO missing review,2026-06-06T12:00:00,AP analyst,Invoice missing PO reference,95000,Asteron India,No,Yes,Missing PO,Exception
AP-2038,PO exception routed,2026-06-07T04:00:00,Procurement,Buyer asked to create or validate PO,95000,Asteron India,No,Yes,Missing PO,Exception
AP-2038,PO confirmed,2026-06-07T22:00:00,Procurement,Backdated PO validated for exception policy,95000,Asteron India,Yes,Yes,Missing PO,Exception
AP-2038,Three-way match,2026-06-08T06:00:00,AP analyst,PO now available and matched,95000,Asteron India,Yes,Yes,None,Open
AP-2038,Approval requested,2026-06-08T12:00:00,Workflow,Approval started after PO resolution,95000,Asteron India,Yes,Yes,None,Pending approval
AP-2038,Approved,2026-06-08T23:00:00,Budget owner,Approved after PO remediation,95000,Asteron India,Yes,Yes,None,Approved
AP-2038,Payment ready,2026-06-09T08:00:00,AP controller,Returned to normal payment queue,95000,Asteron India,Yes,Yes,None,Payment ready
AP-2039,Invoice received,2026-06-06T09:00:00,AP intake,Invoice received from Zenith Services,265000,Asteron UK,Yes,Yes,None,Open
AP-2039,PO missing review,2026-06-06T15:00:00,AP analyst,Invoice missing PO reference,265000,Asteron UK,No,Yes,Missing PO,Exception
AP-2039,PO exception routed,2026-06-07T07:00:00,Procurement,Buyer asked to create or validate PO,265000,Asteron UK,No,Yes,Missing PO,Exception
AP-2039,PO confirmed,2026-06-08T01:00:00,Procurement,Backdated PO validated for exception policy,265000,Asteron UK,Yes,Yes,Missing PO,Exception
AP-2039,Three-way match,2026-06-08T09:00:00,AP analyst,PO now available and matched,265000,Asteron UK,Yes,Yes,None,Open
AP-2039,Approval requested,2026-06-08T15:00:00,Workflow,Approval started after PO resolution,265000,Asteron UK,Yes,Yes,None,Pending approval
AP-2039,Approved,2026-06-09T02:00:00,Budget owner,Approved after PO remediation,265000,Asteron UK,Yes,Yes,None,Approved
AP-2039,Payment ready,2026-06-09T11:00:00,AP controller,Returned to normal payment queue,265000,Asteron UK,Yes,Yes,None,Payment ready
AP-2040,Invoice received,2026-06-06T12:00:00,AP intake,Invoice received from BluePeak Systems,560000,Asteron GCC,Yes,Yes,None,Open
AP-2040,PO missing review,2026-06-06T18:00:00,AP analyst,Invoice missing PO reference,560000,Asteron GCC,No,Yes,Missing PO,Exception
AP-2040,PO exception routed,2026-06-07T10:00:00,Procurement,Buyer asked to create or validate PO,560000,Asteron GCC,No,Yes,Missing PO,Exception
AP-2040,PO confirmed,2026-06-08T04:00:00,Procurement,Backdated PO validated for exception policy,560000,Asteron GCC,Yes,Yes,Missing PO,Exception
AP-2040,Three-way match,2026-06-08T12:00:00,AP analyst,PO now available and matched,560000,Asteron GCC,Yes,Yes,None,Open
AP-2040,Approval requested,2026-06-08T18:00:00,Workflow,Approval started after PO resolution,560000,Asteron GCC,Yes,Yes,None,Pending approval
AP-2040,Approved,2026-06-09T05:00:00,Budget owner,Approved after PO remediation,560000,Asteron GCC,Yes,Yes,None,Approved
