sku_id,product_id,product_code,price,product_name,description,category,brand,rating
18,P00018,PE-00018,277.17,"Himalaya Gentle Baby Wipes, Pack of 2",With Indian Lotus to keep baby's skin soft and supple.,Personal Care,Himalaya,3.9
19,P00019,EL-00019,16546.11,Samsung Galaxy Buds 3 Pro,Crystal clear 24bit/96kHz studio quality sound.,Electronics,Samsung,4.6
20,P00020,PE-00020,742.01,"Pampers Baby Diapers, Pack of 2",Wetness indicator which turns from Yellow to Blue.,Personal Care,Pampers,3.7
21,P00021,PE-00021,1580.48,Oral-B Cross Action Electric Toothbrush,"IPX7 water resistant, can be safely used in the shower.",Personal Care,Oral-B,3.7
22,P00022,GR-00022,377.23,"Barilla Pasta Sauce, 400 gm - Arrabbiata",Made from high-quality Italian tomatoes and chillies.,Groceries,Barilla,3.8
23,P00023,FA-00023,2868.46,Levi's Men's 505 Straight Fit Jeans,Straight Fit with a classic Vintage Wash.,Fashion,Levi's,4.0
24,P00024,PE-00024,279.88,"Himalaya Gentle Baby Wipes, Pack of 2",With Indian Lotus to keep baby's skin soft and supple.,Personal Care,Himalaya,3.7
25,P00025,EL-00025,1282.27,HP Ink Cartridge,"Black, High-yield for Smart Tank printers.",Electronics,HP,3.8
26,P00026,GR-00026,254.35,"Barilla Pasta Sauce, 400 gm - Arrabbiata",Made from high-quality Italian tomatoes and chillies.,Groceries,Barilla,3.6
27,P00027,PE-00027,2399.39,Oral-B Cross Action Electric Toothbrush,"IPX7 water resistant, can be safely used in the shower.",Personal Care,Oral-B,3.9
28,P00028,FA-00028,2368.31,Peter England Men's Kurta,"Linen Blend, perfect for casual occasions.",Fashion,Peter England,4.4
29,P00029,FA-00029,2393.31,Adidas Men's Geometric T-Shirt,Regular Fit and made from Organic Cotton.,Fashion,Adidas,4.6
30,P00030,GR-00030,313.49,"Barilla Penne Pasta, 454 gm","Classic penne shape, contains Wheat.",Groceries,Barilla,4.4
31,P00031,FA-00031,1997.06,Manyavar Pajama Set,Regal color with pure Chanderi fabric for a rich look.,Fashion,Manyavar,4.4
32,P00032,PE-00032,290.45,"Himalaya Gentle Baby Wipes, Pack of 2",With Indian Lotus to keep baby's skin soft and supple.,Personal Care,Himalaya,4.2
33,P00033,FA-00033,2208.61,Manyavar Pajama Set,Regal color with pure Chanderi fabric for a rich look.,Fashion,Manyavar,4.4
34,P00034,EL-00034,130453.39,Samsung Galaxy S25 Ultra,"Snapdragon 8 Elite processor, custom-tuned for Galaxy.",Electronics,Samsung,4.1
35,P00035,GR-00035,303.05,"Barilla Penne Pasta, 454 gm","Classic penne shape, contains Wheat.",Groceries,Barilla,4.2
36,P00036,EL-00036,127685.35,Samsung Galaxy S25 Ultra,"Snapdragon 8 Elite processor, custom-tuned for Galaxy.",Electronics,Samsung,3.8
37,P00037,EL-00037,139436.97,"Apple iPhone 15 Pro (Black Titanium, 256 GB)","A17 Pro Chip, 6 Core Processor",Electronics,Apple,4.3
38,P00038,GR-00038,83.78,"Shan Biryani Masala, 50 gm",Authentic Spice Mix with no artificial food colour.,Groceries,Shan,4.7
39,P00039,EL-00039,18622.37,Samsung Galaxy Buds 3 Pro,Crystal clear 24bit/96kHz studio quality sound.,Electronics,Samsung,4.6
40,P00040,PE-00040,194.33,Colgate Antibacterial Toothpaste,Provides 12-Hour Protection for your teeth and gums.,Personal Care,Colgate,4.8
41,P00041,EL-00041,2064.84,Apple USB-C Power Adapter,"20W, Fast Charging, Lightweight Design",Electronics,Apple,4.6
42,P00042,GR-00042,58.8,"Shan Biryani Masala, 50 gm",Authentic Spice Mix with no artificial food colour.,Groceries,Shan,3.8
43,P00043,GR-00043,823.43,"Daawat Basmati Rice, 5 Kg","The world's longest rice grain, perfect for biryani.",Groceries,Daawat,4.1
44,P00044,PE-00044,211.79,"Himalaya Gentle Baby Wipes, Pack of 2",With Indian Lotus to keep baby's skin soft and supple.,Personal Care,Himalaya,4.1
45,P00045,PE-00045,739.91,"Pampers Baby Diapers, Pack of 2",Wetness indicator which turns from Yellow to Blue.,Personal Care,Pampers,3.8
46,P00046,PE-00046,1697.63,Oral-B Cross Action Electric Toothbrush,"IPX7 water resistant, can be safely used in the shower.",Personal Care,Oral-B,4.3
47,P00047,PE-00047,2023.83,Oral-B Cross Action Electric Toothbrush,"IPX7 water resistant, can be safely used in the shower.",Personal Care,Oral-B,4.8
48,P00048,EL-00048,138228.85,Samsung Galaxy S25 Ultra,"Snapdragon 8 Elite processor, custom-tuned for Galaxy.",Electronics,Samsung,4.6
49,P00049,EL-00049,136251.25,Samsung Galaxy S25 Ultra,"Snapdragon 8 Elite processor, custom-tuned for Galaxy.",Electronics,Samsung,4.6
50,P00050,FA-00050,2094.89,Levi's Men's 505 Straight Fit Jeans,Straight Fit with a classic Vintage Wash.,Fashion,Levi's,3.9
51,P00051,PE-00051,170.9,Colgate Antibacterial Toothpaste,Provides 12-Hour Protection for your teeth and gums.,Personal Care,Colgate,3.8
52,P00052,PE-00052,2091.04,Oral-B Cross Action Electric Toothbrush,"IPX7 water resistant, can be safely used in the shower.",Personal Care,Oral-B,4.6
53,P00053,PE-00053,1544.03,Oral-B Cross Action Electric Toothbrush,"IPX7 water resistant, can be safely used in the shower.",Personal Care,Oral-B,4.7
54,P00054,EL-00054,249919.52,Dell XPS 15 Laptop,"15.6"" OLED UHD+ screen with high resolution and HDR support.",Electronics,Dell,3.5
55,P00055,GR-00055,367.97,"Barilla Pasta Sauce, 400 gm - Arrabbiata",Made from high-quality Italian tomatoes and chillies.,Groceries,Barilla,4.3
56,P00056,PE-00056,158.35,Colgate Antibacterial Toothpaste,Provides 12-Hour Protection for your teeth and gums.,Personal Care,Colgate,3.7
57,P00057,PE-00057,647.79,"Head & Shoulders Anti Dandruff Shampoo, 750ml",Effectively removes dandruff and prevents it from coming back.,Personal Care,Head & Shoulders,4.2
58,P00058,FA-00058,3296.43,Levi's Men's 505 Straight Fit Jeans,Straight Fit with a classic Vintage Wash.,Fashion,Levi's,4.0
59,P00059,EL-00059,122234.34,"Apple iPhone 15 Pro (Black Titanium, 256 GB)","A17 Pro Chip, 6 Core Processor",Electronics,Apple,4.0
60,P00060,EL-00060,3542.56,Dell EcoLoop Urban Backpack,"Made from 100% recycled plastic, 420D fabric.",Electronics,Dell,4.3
61,P00061,PE-00061,776.08,"Pampers Baby Diapers, Pack of 2",Wetness indicator which turns from Yellow to Blue.,Personal Care,Pampers,4.2
62,P00062,PE-00062,497.69,"Head & Shoulders Anti Dandruff Shampoo, 750ml",Effectively removes dandruff and prevents it from coming back.,Personal Care,Head & Shoulders,4.0
63,P00063,GR-00063,322.72,"Barilla Penne Pasta, 454 gm","Classic penne shape, contains Wheat.",Groceries,Barilla,4.7
64,P00064,FA-00064,2154.52,Adidas Men's Geometric T-Shirt,Regular Fit and made from Organic Cotton.,Fashion,Adidas,3.7
65,P00065,GR-00065,797.68,"Daawat Basmati Rice, 5 Kg","The world's longest rice grain, perfect for biryani.",Groceries,Daawat,4.3
66,P00066,FA-00066,1131.25,Manyavar Pajama Set,Regal color with pure Chanderi fabric for a rich look.,Fashion,Manyavar,4.3
67,P00067,PE-00067,306.81,"Himalaya Gentle Baby Wipes, Pack of 2",With Indian Lotus to keep baby's skin soft and supple.,Personal Care,Himalaya,4.8
68,P00068,EL-00068,1154.8,HP Ink Cartridge,"Black, High-yield for Smart Tank printers.",Electronics,HP,4.3
69,P00069,EL-00069,4385.2,Dell EcoLoop Urban Backpack,"Made from 100% recycled plastic, 420D fabric.",Electronics,Dell,4.4
70,P00070,EL-00070,18418.09,Samsung Galaxy Buds 3 Pro,Crystal clear 24bit/96kHz studio quality sound.,Electronics,Samsung,3.5
71,P00071,FA-00071,4068.54,Levi's Men's 505 Straight Fit Jeans,Straight Fit with a classic Vintage Wash.,Fashion,Levi's,4.3
72,P00072,PE-00072,650.29,"Pampers Baby Diapers, Pack of 2",Wetness indicator which turns from Yellow to Blue.,Personal Care,Pampers,4.1
73,P00073,FA-00073,2900.56,Peter England Men's Kurta,"Linen Blend, perfect for casual occasions.",Fashion,Peter England,3.8
74,P00074,PE-00074,479.06,"Head & Shoulders Anti Dandruff Shampoo, 750ml",Effectively removes dandruff and prevents it from coming back.,Personal Care,Head & Shoulders,3.7
75,P00075,PE-00075,187.35,Colgate Antibacterial Toothpaste,Provides 12-Hour Protection for your teeth and gums.,Personal Care,Colgate,4.6
76,P00076,EL-00076,1913.26,Apple USB-C Power Adapter,"20W, Fast Charging, Lightweight Design",Electronics,Apple,4.2
77,P00077,EL-00077,217390.67,Dell XPS 15 Laptop,"15.6"" OLED UHD+ screen with high resolution and HDR support.",Electronics,Dell,4.2
78,P00078,PE-00078,693.19,"Head & Shoulders Anti Dandruff Shampoo, 750ml",Effectively removes dandruff and prevents it from coming back.,Personal Care,Head & Shoulders,4.3
79,P00079,PE-00079,227.87,"Himalaya Gentle Baby Wipes, Pack of 2",With Indian Lotus to keep baby's skin soft and supple.,Personal Care,Himalaya,3.6
80,P00080,GR-00080,782.44,"Daawat Basmati Rice, 5 Kg","The world's longest rice grain, perfect for biryani.",Groceries,Daawat,4.4
81,P00081,PE-00081,106.48,Colgate Antibacterial Toothpaste,Provides 12-Hour Protection for your teeth and gums.,Personal Care,Colgate,4.5
82,P00082,EL-00082,239569.09,Dell XPS 15 Laptop,"15.6"" OLED UHD+ screen with high resolution and HDR support.",Electronics,Dell,3.9
83,P00083,EL-00083,122631.85,Samsung Galaxy S25 Ultra,"Snapdragon 8 Elite processor, custom-tuned for Galaxy.",Electronics,Samsung,4.4
84,P00084,FA-00084,1684.89,Peter England Men's Kurta,"Linen Blend, perfect for casual occasions.",Fashion,Peter England,4.2
85,P00085,PE-00085,1967.96,Oral-B Cross Action Electric Toothbrush,"IPX7 water resistant, can be safely used in the shower.",Personal Care,Oral-B,4.7
86,P00086,FA-00086,1321.44,Adidas Men's Geometric T-Shirt,Regular Fit and made from Organic Cotton.,Fashion,Adidas,4.4
87,P00087,GR-00087,843.41,"Daawat Basmati Rice, 5 Kg","The world's longest rice grain, perfect for biryani.",Groceries,Daawat,4.1
88,P00088,FA-00088,2356.02,Manyavar Pajama Set,Regal color with pure Chanderi fabric for a rich look.,Fashion,Manyavar,3.7
89,P00089,EL-00089,3717.49,Apple USB-C Power Adapter,"20W, Fast Charging, Lightweight Design",Electronics,Apple,4.0
90,P00090,PE-00090,398.92,"Pantene Silky Smooth Conditioner, 500ml",Treats severely damaged hair that needs deep conditioning.,Personal Care,Pantene,4.2
91,P00091,PE-00091,522.89,"Pampers Baby Diapers, Pack of 2",Wetness indicator which turns from Yellow to Blue.,Personal Care,Pampers,4.6
92,P00092,GR-00092,847.03,"Daawat Basmati Rice, 5 Kg","The world's longest rice grain, perfect for biryani.",Groceries,Daawat,3.9
93,P00093,PE-00093,2468.86,Oral-B Cross Action Electric Toothbrush,"IPX7 water resistant, can be safely used in the shower.",Personal Care,Oral-B,3.6
94,P00094,GR-00094,98.48,"Shan Biryani Masala, 50 gm",Authentic Spice Mix with no artificial food colour.,Groceries,Shan,4.7
95,P00095,GR-00095,701.81,"Daawat Basmati Rice, 5 Kg","The world's longest rice grain, perfect for biryani.",Groceries,Daawat,3.7
96,P00096,EL-00096,1062.92,HP Ink Cartridge,"Black, High-yield for Smart Tank printers.",Electronics,HP,3.7
97,P00097,EL-00097,209396.67,Dell XPS 15 Laptop,"15.6"" OLED UHD+ screen with high resolution and HDR support.",Electronics,Dell,4.0
98,P00098,GR-00098,622.46,"Daawat Basmati Rice, 5 Kg","The world's longest rice grain, perfect for biryani.",Groceries,Daawat,3.6
99,P00099,FA-00099,1374.97,Adidas Men's Geometric T-Shirt,Regular Fit and made from Organic Cotton.,Fashion,Adidas,4.0
100,P00100,EL-00100,3214.71,Apple USB-C Power Adapter,"20W, Fast Charging, Lightweight Design",Electronics,Apple,4.7
101,P00101,PE-00101,259.1,"Himalaya Gentle Baby Wipes, Pack of 2",With Indian Lotus to keep baby's skin soft and supple.,Personal Care,Himalaya,3.6
102,P00102,GR-00102,738.85,"Daawat Basmati Rice, 5 Kg","The world's longest rice grain, perfect for biryani.",Groceries,Daawat,4.2
103,P00103,PE-00103,794.15,"Pampers Baby Diapers, Pack of 2",Wetness indicator which turns from Yellow to Blue.,Personal Care,Pampers,4.3
104,P00104,GR-00104,295.29,"Barilla Penne Pasta, 454 gm","Classic penne shape, contains Wheat.",Groceries,Barilla,4.3
105,P00105,EL-00105,139635.19,"Apple iPhone 15 Pro (Black Titanium, 256 GB)","A17 Pro Chip, 6 Core Processor",Electronics,Apple,4.6
106,P00106,FA-00106,1683.06,Peter England Men's Kurta,"Linen Blend, perfect for casual occasions.",Fashion,Peter England,4.1
107,P00107,PE-00107,139.19,Colgate Antibacterial Toothpaste,Provides 12-Hour Protection for your teeth and gums.,Personal Care,Colgate,4.2
108,P00108,EL-00108,122604.57,Samsung Galaxy S25 Ultra,"Snapdragon 8 Elite processor, custom-tuned for Galaxy.",Electronics,Samsung,4.0
109,P00109,GR-00109,386.76,"Barilla Pasta Sauce, 400 gm - Arrabbiata",Made from high-quality Italian tomatoes and chillies.,Groceries,Barilla,4.7
110,P00110,FA-00110,4389.23,Levi's Men's 505 Straight Fit Jeans,Straight Fit with a classic Vintage Wash.,Fashion,Levi's,4.1
111,P00111,GR-00111,600.62,"Daawat Basmati Rice, 5 Kg","The world's longest rice grain, perfect for biryani.",Groceries,Daawat,4.6
112,P00112,FA-00112,2502.78,Peter England Men's Kurta,"Linen Blend, perfect for casual occasions.",Fashion,Peter England,4.6
113,P00113,PE-00113,350.29,"Himalaya Gentle Baby Wipes, Pack of 2",With Indian Lotus to keep baby's skin soft and supple.,Personal Care,Himalaya,3.8
114,P00114,FA-00114,1082.02,Peter England Men's Kurta,"Linen Blend, perfect for casual occasions.",Fashion,Peter England,3.7
115,P00115,EL-00115,3241.52,Apple USB-C Power Adapter,"20W, Fast Charging, Lightweight Design",Electronics,Apple,4.1
116,P00116,EL-00116,17675.8,Samsung Galaxy Buds 3 Pro,Crystal clear 24bit/96kHz studio quality sound.,Electronics,Samsung,4.2
117,P00117,EL-00117,2823.48,Apple USB-C Power Adapter,"20W, Fast Charging, Lightweight Design",Electronics,Apple,3.9
118,P00118,EL-00118,3573.13,Dell EcoLoop Urban Backpack,"Made from 100% recycled plastic, 420D fabric.",Electronics,Dell,4.3
119,P00119,GR-00119,635.41,"Daawat Basmati Rice, 5 Kg","The world's longest rice grain, perfect for biryani.",Groceries,Daawat,4.5
120,P00120,PE-00120,238.9,"Himalaya Gentle Baby Wipes, Pack of 2",With Indian Lotus to keep baby's skin soft and supple.,Personal Care,Himalaya,4.1
121,P00121,FA-00121,1596.91,Peter England Men's Kurta,"Linen Blend, perfect for casual occasions.",Fashion,Peter England,3.6
122,P00122,PE-00122,317.45,"Pantene Silky Smooth Conditioner, 500ml",Treats severely damaged hair that needs deep conditioning.,Personal Care,Pantene,4.4
123,P00123,GR-00123,210.73,"Barilla Penne Pasta, 454 gm","Classic penne shape, contains Wheat.",Groceries,Barilla,4.0
124,P00124,FA-00124,2965.45,Levi's Men's 505 Straight Fit Jeans,Straight Fit with a classic Vintage Wash.,Fashion,Levi's,4.0
125,P00125,PE-00125,307.11,"Pantene Silky Smooth Conditioner, 500ml",Treats severely damaged hair that needs deep conditioning.,Personal Care,Pantene,3.6
126,P00126,FA-00126,3880.4,Levi's Men's 505 Straight Fit Jeans,Straight Fit with a classic Vintage Wash.,Fashion,Levi's,3.7
127,P00127,PE-00127,2456.42,Oral-B Cross Action Electric Toothbrush,"IPX7 water resistant, can be safely used in the shower.",Personal Care,Oral-B,4.0
128,P00128,FA-00128,2179.05,Adidas Men's Geometric T-Shirt,Regular Fit and made from Organic Cotton.,Fashion,Adidas,4.2
129,P00129,FA-00129,1502.03,Manyavar Pajama Set,Regal color with pure Chanderi fabric for a rich look.,Fashion,Manyavar,4.7
130,P00130,GR-00130,316.64,"Barilla Pasta Sauce, 400 gm - Arrabbiata",Made from high-quality Italian tomatoes and chillies.,Groceries,Barilla,3.5
131,P00131,GR-00131,614.81,"Daawat Basmati Rice, 5 Kg","The world's longest rice grain, perfect for biryani.",Groceries,Daawat,4.1
132,P00132,EL-00132,240510.25,Dell XPS 15 Laptop,"15.6"" OLED UHD+ screen with high resolution and HDR support.",Electronics,Dell,4.6
133,P00133,PE-00133,326.68,"Pantene Silky Smooth Conditioner, 500ml",Treats severely damaged hair that needs deep conditioning.,Personal Care,Pantene,3.8
134,P00134,PE-00134,430.32,"Pantene Silky Smooth Conditioner, 500ml",Treats severely damaged hair that needs deep conditioning.,Personal Care,Pantene,3.7
135,P00135,PE-00135,532.92,"Pantene Silky Smooth Conditioner, 500ml",Treats severely damaged hair that needs deep conditioning.,Personal Care,Pantene,3.9
136,P00136,FA-00136,2014.84,Adidas Men's Geometric T-Shirt,Regular Fit and made from Organic Cotton.,Fashion,Adidas,4.4
137,P00137,EL-00137,133547.81,"Apple iPhone 15 Pro (Black Titanium, 256 GB)","A17 Pro Chip, 6 Core Processor",Electronics,Apple,3.6
138,P00138,EL-00138,3916.64,Dell EcoLoop Urban Backpack,"Made from 100% recycled plastic, 420D fabric.",Electronics,Dell,4.2
139,P00139,PE-00139,170.9,Colgate Antibacterial Toothpaste,Provides 12-Hour Protection for your teeth and gums.,Personal Care,Colgate,4.6
140,P00140,FA-00140,1061.77,Adidas Men's Geometric T-Shirt,Regular Fit and made from Organic Cotton.,Fashion,Adidas,3.7
141,P00141,GR-00141,700.57,"Daawat Basmati Rice, 5 Kg","The world's longest rice grain, perfect for biryani.",Groceries,Daawat,4.5
142,P00142,GR-00142,385.2,"Barilla Pasta Sauce, 400 gm - Arrabbiata",Made from high-quality Italian tomatoes and chillies.,Groceries,Barilla,4.0
143,P00143,GR-00143,269.64,"Barilla Pasta Sauce, 400 gm - Arrabbiata",Made from high-quality Italian tomatoes and chillies.,Groceries,Barilla,4.6
144,P00144,GR-00144,214.54,"Barilla Penne Pasta, 454 gm","Classic penne shape, contains Wheat.",Groceries,Barilla,4.4
145,P00145,EL-00145,17943.16,Samsung Galaxy Buds 3 Pro,Crystal clear 24bit/96kHz studio quality sound.,Electronics,Samsung,4.4
146,P00146,PE-00146,161.36,Colgate Antibacterial Toothpaste,Provides 12-Hour Protection for your teeth and gums.,Personal Care,Colgate,4.2
147,P00147,GR-00147,281.17,"Barilla Pasta Sauce, 400 gm - Arrabbiata",Made from high-quality Italian tomatoes and chillies.,Groceries,Barilla,4.0
148,P00148,GR-00148,784.8,"Daawat Basmati Rice, 5 Kg","The world's longest rice grain, perfect for biryani.",Groceries,Daawat,3.6
149,P00149,PE-00149,761.83,"Pampers Baby Diapers, Pack of 2",Wetness indicator which turns from Yellow to Blue.,Personal Care,Pampers,4.2
150,P00150,PE-00150,538.92,"Head & Shoulders Anti Dandruff Shampoo, 750ml",Effectively removes dandruff and prevents it from coming back.,Personal Care,Head & Shoulders,3.6
151,P00151,PE-00151,449.0,"Pantene Silky Smooth Conditioner, 500ml",Treats severely damaged hair that needs deep conditioning.,Personal Care,Pantene,4.7
152,P00152,PE-00152,150.77,Colgate Antibacterial Toothpaste,Provides 12-Hour Protection for your teeth and gums.,Personal Care,Colgate,4.2
153,P00153,PE-00153,585.3,"Head & Shoulders Anti Dandruff Shampoo, 750ml",Effectively removes dandruff and prevents it from coming back.,Personal Care,Head & Shoulders,4.5
154,P00154,FA-00154,1135.87,Manyavar Pajama Set,Regal color with pure Chanderi fabric for a rich look.,Fashion,Manyavar,3.6
155,P00155,EL-00155,18555.8,HP Smart Tank Printer,Integrated ink tanks and automated ink detection.,Electronics,HP,4.7
156,P00156,GR-00156,226.53,"Barilla Penne Pasta, 454 gm","Classic penne shape, contains Wheat.",Groceries,Barilla,3.9
157,P00157,GR-00157,708.89,"Daawat Basmati Rice, 5 Kg","The world's longest rice grain, perfect for biryani.",Groceries,Daawat,3.5
158,P00158,FA-00158,1578.28,Manyavar Pajama Set,Regal color with pure Chanderi fabric for a rich look.,Fashion,Manyavar,4.8
159,P00159,FA-00159,2110.49,Manyavar Pajama Set,Regal color with pure Chanderi fabric for a rich look.,Fashion,Manyavar,4.2
160,P00160,PE-00160,439.03,"Pantene Silky Smooth Conditioner, 500ml",Treats severely damaged hair that needs deep conditioning.,Personal Care,Pantene,4.3
161,P00161,EL-00161,115124.37,Samsung Galaxy S25 Ultra,"Snapdragon 8 Elite processor, custom-tuned for Galaxy.",Electronics,Samsung,3.7
162,P00162,EL-00162,116940.94,Samsung Galaxy S25 Ultra,"Snapdragon 8 Elite processor, custom-tuned for Galaxy.",Electronics,Samsung,4.3
163,P00163,PE-00163,314.45,"Himalaya Gentle Baby Wipes, Pack of 2",With Indian Lotus to keep baby's skin soft and supple.,Personal Care,Himalaya,4.1
164,P00164,PE-00164,326.62,"Himalaya Gentle Baby Wipes, Pack of 2",With Indian Lotus to keep baby's skin soft and supple.,Personal Care,Himalaya,4.4
165,P00165,FA-00165,1686.12,Peter England Men's Kurta,"Linen Blend, perfect for casual occasions.",Fashion,Peter England,4.2
166,P00166,FA-00166,2764.0,Peter England Men's Kurta,"Linen Blend, perfect for casual occasions.",Fashion,Peter England,4.1
167,P00167,EL-00167,1572.12,Apple USB-C Power Adapter,"20W, Fast Charging, Lightweight Design",Electronics,Apple,4.5
168,P00168,PE-00168,647.32,"Head & Shoulders Anti Dandruff Shampoo, 750ml",Effectively removes dandruff and prevents it from coming back.,Personal Care,Head & Shoulders,4.7
169,P00169,FA-00169,1282.33,Manyavar Pajama Set,Regal color with pure Chanderi fabric for a rich look.,Fashion,Manyavar,3.8
170,P00170,PE-00170,461.78,"Head & Shoulders Anti Dandruff Shampoo, 750ml",Effectively removes dandruff and prevents it from coming back.,Personal Care,Head & Shoulders,4.0
171,P00171,FA-00171,3514.96,Levi's Men's 505 Straight Fit Jeans,Straight Fit with a classic Vintage Wash.,Fashion,Levi's,4.3
172,P00172,FA-00172,1819.24,Manyavar Pajama Set,Regal color with pure Chanderi fabric for a rich look.,Fashion,Manyavar,4.1
173,P00173,EL-00173,1637.63,Apple USB-C Power Adapter,"20W, Fast Charging, Lightweight Design",Electronics,Apple,4.6
174,P00174,GR-00174,96.79,"Shan Biryani Masala, 50 gm",Authentic Spice Mix with no artificial food colour.,Groceries,Shan,4.3
175,P00175,GR-00175,851.58,"Daawat Basmati Rice, 5 Kg","The world's longest rice grain, perfect for biryani.",Groceries,Daawat,4.1
176,P00176,GR-00176,83.3,"Shan Biryani Masala, 50 gm",Authentic Spice Mix with no artificial food colour.,Groceries,Shan,3.7
177,P00177,FA-00177,2754.4,Peter England Men's Kurta,"Linen Blend, perfect for casual occasions.",Fashion,Peter England,4.7
178,P00178,GR-00178,351.41,"Barilla Pasta Sauce, 400 gm - Arrabbiata",Made from high-quality Italian tomatoes and chillies.,Groceries,Barilla,3.5
179,P00179,PE-00179,321.89,"Pantene Silky Smooth Conditioner, 500ml",Treats severely damaged hair that needs deep conditioning.,Personal Care,Pantene,4.5
180,P00180,PE-00180,137.42,Colgate Antibacterial Toothpaste,Provides 12-Hour Protection for your teeth and gums.,Personal Care,Colgate,3.9
181,P00181,EL-00181,1933.84,Apple USB-C Power Adapter,"20W, Fast Charging, Lightweight Design",Electronics,Apple,3.9
182,P00182,GR-00182,339.95,"Barilla Pasta Sauce, 400 gm - Arrabbiata",Made from high-quality Italian tomatoes and chillies.,Groceries,Barilla,4.0
183,P00183,GR-00183,774.69,"Daawat Basmati Rice, 5 Kg","The world's longest rice grain, perfect for biryani.",Groceries,Daawat,4.5
184,P00184,GR-00184,63.82,"Shan Biryani Masala, 50 gm",Authentic Spice Mix with no artificial food colour.,Groceries,Shan,3.8
185,P00185,GR-00185,228.35,"Barilla Penne Pasta, 454 gm","Classic penne shape, contains Wheat.",Groceries,Barilla,4.5
186,P00186,PE-00186,136.37,Colgate Antibacterial Toothpaste,Provides 12-Hour Protection for your teeth and gums.,Personal Care,Colgate,4.5
187,P00187,GR-00187,52.21,"Shan Biryani Masala, 50 gm",Authentic Spice Mix with no artificial food colour.,Groceries,Shan,3.9
188,P00188,EL-00188,16432.72,HP Smart Tank Printer,Integrated ink tanks and automated ink detection.,Electronics,HP,4.1
189,P00189,EL-00189,20466.7,HP Smart Tank Printer,Integrated ink tanks and automated ink detection.,Electronics,HP,4.5
190,P00190,PE-00190,1926.57,Oral-B Cross Action Electric Toothbrush,"IPX7 water resistant, can be safely used in the shower.",Personal Care,Oral-B,4.2
191,P00191,EL-00191,233361.87,Dell XPS 15 Laptop,"15.6"" OLED UHD+ screen with high resolution and HDR support.",Electronics,Dell,3.6
192,P00192,EL-00192,3996.49,Apple USB-C Power Adapter,"20W, Fast Charging, Lightweight Design",Electronics,Apple,4.1
193,P00193,EL-00193,1495.36,HP Ink Cartridge,"Black, High-yield for Smart Tank printers.",Electronics,HP,4.4
194,P00194,FA-00194,2062.97,Levi's Men's 505 Straight Fit Jeans,Straight Fit with a classic Vintage Wash.,Fashion,Levi's,4.6
195,P00195,EL-00195,3527.94,Apple USB-C Power Adapter,"20W, Fast Charging, Lightweight Design",Electronics,Apple,4.0
196,P00196,FA-00196,1657.35,Manyavar Pajama Set,Regal color with pure Chanderi fabric for a rich look.,Fashion,Manyavar,3.8
